variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
lsoa11cd,String,32844,32844,0,0,9,9,,,,,
lsoa11nm,String,32844,32844,0,0,9,33,,,,,
lsoa11nmw,String,32844,32844,0,0,9,33,,,,,
st_areasha,Numeric,32844,32844,0,0,,,16901.71358,683784347.4,3971258.755,455693.684,13341704.03
st_lengths,Numeric,32844,32844,0,0,,,681.045115,169371.2606,8047.210798,4282.30851,10508.83683
IMD_Rank,Numeric,32844,32818,0,0,,,1,32844,16422.49921,16422.5,9481.390454
IMD_Decile,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
LSOA01NM,String,32844,32844,0,0,9,33,,,,,
LADcd,String,32844,317,0,0,9,9,,,,,
LADnm,String,32844,317,0,0,4,35,,,,,
IMDScore,Numeric,32844,23234,0,0,,,0.541,92.735,21.66939261,17.6475,15.33222947
IMDRank0,Numeric,32844,32818,0,0,,,1,32844,16422.49921,16422.5,9481.390454
IMDDec0,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
IncScore,Numeric,32844,523,0,0,,,0.003,0.609,0.128165692,0.099,0.093538746
IncRank,Numeric,32844,32796,0,0,,,1,32844,16422.49848,16422.5,9481.389874
IncDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
EmpScore,Numeric,32844,418,0,0,,,0.002,0.534,0.099920929,0.08,0.067436484
EmpRank,Numeric,32844,32788,0,0,,,1,32844,16422.49829,16422.5,9481.390049
EmpDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
EduScore,Numeric,32844,23862,0,0,,,0.013,99.446,21.69108388,16.1805,18.60756223
EduRank,Numeric,32844,32824,0,0,,,1,32844,16422.49939,16422.5,9481.390506
EduDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
HDDScore,Numeric,32844,4289,0,0,,,-3.215,3.547,-1.16E-06,-0.027,0.859654845
HDDRank,Numeric,32844,32831,0,0,,,1,32844,16422.4996,16422.5,9481.39048
HDDDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
CriScore,Numeric,32844,4093,0,0,,,-3.459,3.35,-2.47E-06,0.016,0.815101165
CriRank,Numeric,32844,32840,0,0,,,1,32844,16422.49988,16422.5,9481.390342
CriDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
BHSScore,Numeric,32844,22096,0,0,,,0.483,70.456,21.69108081,20.1965,10.71130095
BHSRank,Numeric,32844,32823,0,0,,,1,32844,16422.49936,16422.5,9481.390512
BHSDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
EnvScore,Numeric,32844,23803,0,0,,,0.126,91.602,21.69108062,18.512,15.20248483
EnvRank,Numeric,32844,32829,0,0,,,1,32844,16422.49954,16422.5,9481.390649
EnvDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
IDCScore,Numeric,32844,627,0,0,,,0.004,0.898,0.158346426,0.126,0.116763262
IDCRank,Numeric,32844,32687,0,0,,,1,32844,16422.49522,16422.5,9481.388476
IDCDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
IDOScore,Numeric,32844,714,0,0,,,0.006,0.988,0.165616551,0.128,0.122716951
IDORank,Numeric,32844,32751,0,0,,,1,32844,16422.49717,16422.5,9481.390496
IDODec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
CYPScore,Numeric,32844,3974,0,0,,,-2.787,3.399,8.83E-07,-0.02,0.796852559
CYPRank,Numeric,32844,32834,0,0,,,1,32844,16422.4997,16422.5,9481.390598
CYPDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
ASScore,Numeric,32844,629,0,0,,,0.031,0.754,0.306775697,0.296,0.113523575
ASRank,Numeric,32844,32782,0,0,,,1,32844,16422.49811,16422.5,9481.390657
ASDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
GBScore,Numeric,32844,4118,0,0,,,-2.756,3.255,1.37E-06,-0.043,0.793777571
GBRank,Numeric,32844,32837,0,0,,,1,32844,16422.49979,16422.5,9481.390398
GBDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
WBScore,Numeric,32844,9990,0,0,,,-8.45,7.659,-3.47E-05,-0.234,2.488865149
WBRank,Numeric,32844,32840,0,0,,,1,32844,16422.49988,16422.5,9481.390453
WBDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
IndScore,Numeric,32844,4206,0,0,,,-3.356,2.958,-5.48E-07,0.0025,0.835669546
IndRank,Numeric,32844,32830,0,0,,,1,32844,16422.49957,16422.5,9481.390525
IndDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
OutScore,Numeric,32844,4050,0,0,,,-3.749,3.31,-1.46E-06,-0.068,0.821499888
OutRank,Numeric,32844,32836,0,0,,,1,32844,16422.49976,16422.5,9481.390538
OutDec,Numeric,32844,10,0,0,,,1,10,5.500121788,5.5,2.872325048
TotPop,Numeric,32844,2109,0,0,,,523,9551,1666.307514,1598,363.6224579
DepChi,Numeric,32844,860,0,0,,,17,1632,316.8021556,298,117.761896
Pop16_59,Numeric,32844,1774,0,0,,,310,8608,965.4827366,907,306.5634597
Pop60+,Numeric,32844,974,0,0,,,15,1372,384.0226221,367,151.8741763
WorkPop,Numeric,32844,5023,0,0,,,329.25,8588.75,971.4625122,910.75,304.1512746