Ward Code,Ward Name,LGD Name,Multiple Deprivation Measure Score,Rank of Multiple Deprivation Measure Domain,Income Domain Score,Rank of Income Domain,Employment Domain Score,Rank of Employment Domain,Health Domain Score,Rank of Health Domain,Education Domain Score,Rank of Education Domain,Access Domain Score,Rank of Access Domain,Social Environment Domain Score,Rank of Social Environment Domain,Housing Domain Score,Rank of Housing Domain,Child Poverty Measure Score,Rank of Child Poverty Measure
101,Aldergrove,Antrim,11.17,414,5.17,560,10.09,392,0.06,259,-0.60,425,0.65,145,-0.94,501,0.32,81,8.27,544
102,Balloo,Antrim,14.89,348,18.32,417,12.82,250,-0.40,403,0.58,150,-0.28,328,0.51,147,0.20,513,36.40,299
103,Ballycraigy,Antrim,20.64,250,31.26,207,11.94,295,-0.31,385,1.08,65,-0.22,311,0.26,197,0.21,475,54.31,128
104,Clady,Antrim,5.27,514,8.42,530,6.17,535,-1.34,548,-0.85,471,0.70,131,-0.31,359,0.12,566,6.23,555
105,Cranfield,Antrim,8.63,454,20.38,385,9.39,430,-0.56,440,-0.54,411,0.36,206,-0.40,382,0.21,487,27.45,400
106,Crumlin,Antrim,12.29,398,20.23,386,9.11,439,0.20,201,-0.09,306,0.26,227,-0.19,328,0.23,412,26.57,410
107,Drumanaway,Antrim,12.07,402,19.80,393,10.28,384,-0.47,424,0.28,210,0.34,212,-0.27,349,0.25,318,31.02,369
108,Fountain Hill,Antrim,25.03,189,38.47,119,12.20,278,0.19,207,0.80,101,-0.42,373,0.64,122,0.23,397,63.67,79
109,Greystone,Antrim,8.78,450,20.55,381,7.81,475,-0.90,506,-0.10,310,-0.29,332,0.38,165,0.24,372,38.10,282
110,Massereene,Antrim,7.70,475,13.62,467,5.54,550,-0.10,315,-0.11,311,-0.64,431,0.61,126,0.20,529,25.63,416
111,New Park,Antrim,23.01,218,31.97,192,12.90,246,-0.06,306,1.12,61,-0.02,265,0.01,277,0.21,486,60.56,96
112,Randalstown,Antrim,8.27,462,18.27,419,9.14,437,-0.77,485,-0.60,422,0.23,230,0.06,262,0.25,327,21.31,446
113,Rathenraw,Antrim,39.66,69,44.57,70,15.53,128,0.75,86,1.33,44,-0.02,263,1.22,46,0.24,348,69.45,51
114,Springfarm,Antrim,19.64,261,25.35,304,10.93,354,0.62,101,0.55,157,-0.05,274,0.16,230,0.25,315,36.42,298
115,Steeple,Antrim,18.59,280,27.30,269,11.45,326,0.07,255,0.53,161,-0.59,424,0.91,77,0.29,163,47.89,182
116,Stiles,Antrim,15.79,330,26.70,277,10.60,372,-0.29,377,0.50,168,-0.30,336,1.16,50,0.16,564,42.16,233
117,Tardree,Antrim,6.51,494,10.72,504,6.92,510,-1.28,546,-1.05,501,0.82,106,-0.57,424,0.25,332,12.13,516
118,Templepatrick,Antrim,5.77,506,7.10,545,6.02,537,-0.99,516,-1.29,523,0.56,161,-0.54,415,0.29,156,9.70,538
119,Toome,Antrim,16.02,324,31.94,194,9.87,406,-0.48,428,-0.56,416,1.01,75,-0.45,394,0.28,201,42.11,235
201,Ballygowan,Ards,5.69,507,10.18,511,6.55,526,-0.90,505,-0.77,461,0.48,179,-0.68,445,0.26,304,14.84,496
202,Ballywalter,Ards,13.93,369,19.22,403,11.87,298,-0.43,413,0.07,261,0.59,154,0.21,218,0.25,324,27.12,402
203,Bradshaw's Brae,Ards,4.21,531,7.89,535,6.94,509,-0.79,488,-1.69,545,-0.26,321,-0.36,370,0.26,267,7.65,545
204,Central,Ards,25.22,183,25.53,297,15.12,141,0.56,112,0.52,164,-1.45,543,1.11,52,0.29,164,36.46,296
205,Comber North,Ards,12.73,390,19.21,404,7.77,476,0.15,222,0.49,173,-0.31,338,-0.12,305,0.26,290,29.92,378
206,Comber South,Ards,6.41,495,13.44,471,8.19,467,-0.47,423,-1.27,520,-0.12,285,-0.25,344,0.26,271,20.03,458
207,Comber West,Ards,4.29,529,7.72,536,5.71,545,-0.80,489,-1.30,525,-0.09,276,-0.31,358,0.26,272,7.58,548
208,Donaghadee North,Ards,5.93,504,12.81,480,6.68,524,-0.96,513,-1.32,527,0.39,198,-0.32,364,0.28,219,18.02,474
209,Donaghadee South,Ards,15.19,340,24.34,320,11.60,317,-0.26,368,0.51,167,-0.28,327,0.36,173,0.24,371,37.91,287
210,Glen,Ards,14.28,361,30.00,228,11.73,306,-0.39,401,-0.28,355,-0.44,378,0.44,155,0.24,365,54.89,123
211,Killinchy,Ards,7.94,467,8.69,525,6.42,529,-0.80,490,-0.97,488,0.84,101,-0.73,454,0.31,95,10.88,526
212,Kircubbin,Ards,14.38,360,21.34,369,9.43,425,0.08,249,0.29,208,0.71,128,-0.39,377,0.23,427,31.59,355
213,Loughries,Ards,16.04,323,24.56,315,9.97,398,0.16,220,0.56,152,-0.13,289,0.37,171,0.21,480,38.45,277
214,Millisle,Ards,11.00,418,19.28,402,9.56,418,-0.78,486,-0.04,290,0.41,188,0.43,159,0.25,335,28.35,391
215,Movilla,Ards,5.26,515,8.71,523,6.17,534,-0.44,418,-0.54,410,-0.22,313,-0.08,298,0.22,458,12.17,514
216,Portaferry,Ards,21.52,238,26.72,276,11.57,321,0.12,235,0.12,248,1.39,24,0.21,213,0.25,341,36.81,294
217,Portavogie,Ards,18.17,289,21.41,367,11.67,311,-0.33,389,0.38,195,1.13,55,0.04,270,0.29,159,24.35,424
218,Scrabo,Ards,20.78,248,27.21,270,13.79,205,0.24,190,0.46,182,-0.53,412,0.40,163,0.28,198,46.00,199
219,West Winds,Ards,42.52,61,43.22,78,17.72,65,0.62,102,1.51,32,-0.23,315,0.83,90,0.28,220,65.35,76
220,Whitespots,Ards,3.18,545,8.66,527,6.86,514,-0.82,493,-1.11,505,-0.67,446,-0.46,398,0.23,402,9.67,539
301,Abbey Park,Armagh,34.44,102,39.75,104,17.31,76,0.92,54,0.22,223,-0.39,364,-0.06,288,0.28,211,61.05,91
302,Ballymartrim,Armagh,18.78,276,29.18,238,13.26,232,-0.03,287,-0.70,442,0.68,136,0.24,202,0.29,178,42.18,232
303,Callan Bridge,Armagh,44.01,51,54.78,21,18.36,50,0.40,150,0.75,109,-0.87,488,0.35,176,0.30,146,80.11,17
304,Carrigatuke,Armagh,23.10,217,33.56,180,13.80,204,0.30,173,0.15,240,0.69,132,-0.85,488,0.24,361,41.82,237
305,Charlemont,Armagh,19.14,271,31.76,199,14.00,190,-0.21,352,-0.49,396,0.49,178,-0.48,405,0.28,188,39.35,265
306,Demesne,Armagh,7.70,476,17.66,427,11.20,339,-1.15,533,-0.96,485,-0.40,367,0.07,260,0.25,345,25.93,414
307,Derrynoose,Armagh,16.74,312,30.71,218,11.66,313,-0.33,390,-0.13,315,0.90,89,-1.11,526,0.24,363,39.40,264
308,Downs,Armagh,33.05,107,44.39,71,18.83,43,-0.05,296,0.10,253,-0.99,504,0.35,177,0.27,252,57.11,113
309,Hamiltonsbawn,Armagh,8.77,451,12.14,491,8.20,466,-1.02,519,-0.15,324,0.53,169,-1.02,512,0.31,114,16.44,489
310,Hockley,Armagh,9.96,435,15.11,456,8.81,446,-0.11,323,-0.96,487,0.40,192,-0.90,500,0.32,68,15.35,491
311,Keady,Armagh,27.35,161,39.74,105,15.52,129,0.10,241,0.72,114,-0.70,450,-0.21,333,0.21,466,60.64,95
312,Killeen,Armagh,17.31,299,25.42,300,13.49,220,-0.38,398,0.28,211,0.64,146,-0.69,446,0.24,366,34.49,326
313,Killylea,Armagh,19.19,269,29.53,236,12.50,265,-0.56,439,0.14,243,1.08,62,-0.32,360,0.26,281,38.55,276
314,Laurelvale,Armagh,6.03,502,12.31,487,8.55,454,-0.83,494,-1.24,518,0.31,216,-1.09,522,0.27,266,16.53,488
315,Loughgall,Armagh,14.69,352,21.62,365,11.24,337,-0.21,353,-0.33,365,1.04,67,-1.06,516,0.29,179,30.92,370
316,Markethill,Armagh,19.70,260,26.54,280,14.45,170,-0.06,305,0.07,262,0.53,168,-0.82,476,0.29,183,34.35,329
317,Milford,Armagh,10.95,420,23.33,341,10.59,373,-1.02,522,-0.62,430,0.39,196,-1.02,511,0.31,98,33.31,338
318,Observatory,Armagh,14.49,355,21.72,361,13.64,214,-0.33,391,-1.21,513,-0.61,428,0.79,98,0.32,76,26.79,406
319,Poyntz Pass,Armagh,15.11,342,20.67,375,12.01,289,0.17,216,-0.62,428,0.75,119,-0.71,453,0.27,238,26.28,412
320,Rich Hill,Armagh,7.34,479,12.86,478,8.56,453,-0.61,449,-0.91,476,0.13,243,-0.49,409,0.29,160,15.05,495
321,Tandragee,Armagh,11.42,411,20.08,388,10.54,377,-0.13,330,-0.44,384,0.12,247,0.38,168,0.24,351,32.55,346
322,The Mall,Armagh,18.61,279,27.38,266,13.81,202,0.22,199,0.06,263,-0.46,393,0.25,200,0.23,414,48.63,173
401,Ahoghill,Ballymena,7.11,483,12.78,481,7.10,499,-0.86,499,0.10,254,0.22,232,-0.90,497,0.20,510,16.90,484
402,Ardeevin,Ballymena,2.95,550,8.99,520,5.75,543,-0.98,515,-1.59,538,-0.14,291,-1.15,531,0.20,511,12.91,508
403,Ballee,Ballymena,40.93,64,47.70,51,17.57,71,0.48,128,1.34,42,-0.09,279,-0.07,293,0.22,437,77.03,21
404,Ballykeel,Ballymena,43.56,55,48.03,49,16.36,95,0.57,109,1.77,18,-0.12,286,0.83,89,0.20,505,70.60,45
405,Ballyloughan,Ballymena,2.83,552,7.90,534,6.08,536,-1.51,558,-1.42,532,-0.11,283,-1.12,527,0.22,459,10.30,533
406,Broughshane,Ballymena,6.54,493,14.28,462,7.51,483,-0.87,500,-0.27,353,0.28,224,-0.87,493,0.21,488,20.90,451
407,Castle Demesne,Ballymena,25.32,182,28.39,250,13.83,201,0.34,165,1.19,56,-1.12,522,0.71,109,0.27,235,46.58,193
408,Craigywarren,Ballymena,7.83,473,12.17,490,7.38,490,-1.10,528,-0.39,374,0.83,105,-0.63,437,0.23,383,16.65,486
409,Cullybackey,Ballymena,11.07,417,22.36,353,11.18,341,-0.73,476,-0.05,294,0.13,246,-0.33,365,0.22,439,37.85,288
410,Dunclug,Ballymena,26.91,163,40.54,101,12.89,247,0.04,263,0.85,93,-0.44,380,1.27,42,0.21,484,66.10,70
411,Dunminning,Ballymena,8.88,448,13.03,475,7.04,500,-0.66,458,-0.17,326,0.94,83,-1.50,563,0.22,447,16.00,490
412,Fair Green,Ballymena,34.69,100,39.22,113,14.96,143,0.44,141,1.53,31,-0.70,449,1.27,41,0.23,387,66.21,68
413,Galgorm,Ballymena,3.14,547,6.71,547,5.96,539,-1.43,552,-1.69,544,0.13,244,-1.49,562,0.24,364,8.74,542
414,Glenravel,Ballymena,12.37,395,19.86,391,6.96,508,-0.38,399,-0.71,444,1.45,19,-0.84,483,0.22,450,28.64,389
415,Glenwhirry,Ballymena,7.88,469,10.72,503,5.74,544,-1.00,518,-0.46,387,1.12,58,-0.81,475,0.20,508,12.88,509
416,Grange,Ballymena,8.51,457,15.59,451,7.03,501,-0.69,467,-0.34,366,0.89,91,-1.28,546,0.22,460,17.66,478
417,Harryville,Ballymena,19.41,265,23.44,339,13.23,235,0.09,246,0.65,135,-0.18,302,0.62,124,0.26,297,33.40,336
418,Kells,Ballymena,7.86,470,17.27,432,7.95,472,-0.92,509,-0.02,286,0.39,199,-1.04,515,0.20,512,26.78,407
419,Moat,Ballymena,31.51,122,38.08,124,16.84,92,-0.02,283,1.25,53,-0.41,371,0.61,128,0.19,543,66.59,65
420,Park,Ballymena,5.18,517,13.29,472,7.23,492,-0.76,481,-0.93,479,-0.58,423,0.23,208,0.23,398,21.09,449
421,Portglenone,Ballymena,10.98,419,22.24,355,10.88,356,-0.32,386,-0.72,446,0.56,160,-0.63,436,0.23,393,26.85,404
422,Slemish,Ballymena,10.90,422,12.10,492,6.21,531,-0.77,484,-0.66,436,1.62,10,-1.19,538,0.19,542,15.15,493
423,Summerfield,Ballymena,8.35,458,16.20,445,9.14,438,-0.06,304,-0.67,437,-0.45,385,0.27,194,0.23,392,21.57,444
501,Ballyhoe & Corkey,Ballymoney,29.18,144,35.30,155,12.75,254,-0.06,301,0.27,214,1.85,4,-1.12,528,0.33,53,49.79,165
502,Benvardin,Ballymoney,24.65,195,33.86,176,12.55,263,0.08,250,0.34,202,1.01,74,0.32,183,0.30,129,40.93,248
503,Carnany,Ballymoney,21.89,234,31.10,211,14.16,182,-0.29,380,0.68,127,-0.37,358,0.24,204,0.29,175,45.45,202
504,Clogh Mills,Ballymoney,13.95,368,22.89,347,11.33,331,-0.30,382,-0.22,338,0.73,126,-0.45,395,0.28,190,31.78,353
505,Dervock,Ballymoney,14.20,363,20.18,387,11.29,333,0.02,269,-0.19,332,0.41,189,-0.44,390,0.30,117,31.07,368
506,Dunloy,Ballymoney,17.58,294,28.23,251,10.87,358,0.09,245,-0.49,397,1.01,72,-0.96,506,0.30,136,36.53,295
507,Fairhill,Ballymoney,13.87,370,18.54,414,11.78,303,-0.03,285,0.35,201,-0.51,406,-0.76,460,0.30,125,26.63,408
508,Glebe,Ballymoney,12.03,404,14.87,457,10.31,382,0.19,211,-0.62,427,-0.67,445,0.43,157,0.32,74,13.48,505
509,Killoquin Lower,Ballymoney,22.09,230,28.10,254,12.85,248,0.16,221,0.31,206,0.67,139,-0.76,459,0.33,41,39.70,261
510,Killoquin Upper,Ballymoney,16.81,311,27.93,257,10.79,361,-0.70,469,0.12,249,0.82,108,0.02,274,0.31,112,36.13,302
511,Knockaholet,Ballymoney,15.83,328,21.46,366,9.48,422,-0.22,357,0.20,225,1.01,73,-0.65,440,0.32,83,30.53,374
512,Newhill,Ballymoney,32.92,108,37.31,133,17.95,60,-0.06,308,0.93,85,-0.78,470,0.41,162,0.32,82,53.90,135
513,Route,Ballymoney,23.42,214,24.19,324,16.73,93,0.45,139,-0.36,371,-0.78,472,0.26,198,0.32,65,35.29,313
514,Seacon,Ballymoney,16.50,320,23.74,332,13.67,213,-0.15,335,-0.18,330,0.28,223,-0.02,280,0.29,162,34.79,317
515,Stranocum,Ballymoney,23.77,208,28.21,252,12.10,285,0.16,219,0.37,197,1.27,37,-0.94,502,0.32,63,40.63,252
516,The Vow,Ballymoney,15.39,338,24.57,314,10.99,352,-0.42,408,-0.09,308,0.64,147,-0.78,465,0.33,40,33.78,334
601,Ballydown,Banbridge,9.97,434,11.67,497,8.20,465,-0.25,367,-0.56,414,0.57,159,0.69,112,0.27,262,12.78,511
602,Banbridge West,Banbridge,11.37,412,18.57,413,10.01,396,-0.27,371,0.38,194,-0.19,303,-0.57,423,0.26,301,27.14,401
603,Bannside,Banbridge,13.49,375,15.19,455,8.55,456,-0.68,466,-0.07,302,1.22,47,-1.10,525,0.33,51,21.12,447
604,Croob,Banbridge,12.00,405,18.12,420,8.77,447,-0.78,487,0.18,234,1.03,70,-1.24,542,0.26,294,28.24,395
605,Dromore North,Banbridge,12.92,382,25.15,306,9.95,400,-0.46,422,0.23,220,0.17,237,-0.18,324,0.25,323,38.88,272
606,Dromore South,Banbridge,8.52,456,14.31,461,7.56,482,-0.98,514,-0.18,331,0.41,190,-0.85,485,0.30,134,19.34,466
607,Edenderry,Banbridge,24.39,197,35.80,148,13.05,242,0.20,203,0.66,131,-0.14,292,0.35,174,0.26,280,57.24,112
608,Fort,Banbridge,13.34,377,20.50,382,11.18,343,0.08,247,-0.22,339,-0.51,409,0.68,117,0.28,199,32.29,350
609,Garran,Banbridge,16.02,325,21.67,363,9.61,416,-0.06,310,0.09,256,1.25,40,-0.99,509,0.28,217,31.19,366
610,Gilford,Banbridge,22.91,219,25.00,310,14.23,178,0.36,160,0.68,128,0.27,226,-0.26,346,0.28,222,40.34,256
611,Katesbridge,Banbridge,14.44,356,18.69,410,8.58,451,-0.42,412,0.01,277,1.12,56,-1.47,560,0.33,50,25.58,418
612,Lawrencetown,Banbridge,15.75,331,19.83,392,12.46,267,-0.07,312,0.19,228,0.43,186,-0.25,343,0.28,195,26.84,405
613,Loughbrickland,Banbridge,13.47,376,20.48,383,10.11,390,-0.32,388,0.43,189,0.57,158,-0.64,438,0.27,245,29.90,379
614,Quilly,Banbridge,7.99,466,10.51,505,6.80,518,-0.42,411,-0.26,349,0.63,150,-1.16,533,0.27,231,14.63,500
615,Seapatrick,Banbridge,8.59,455,15.86,447,7.92,473,-0.17,343,-0.36,369,-0.02,262,-0.11,304,0.25,337,21.93,440
701,Andersonstown,Belfast,31.35,124,43.13,80,14.65,160,0.70,92,0.24,217,-1.24,533,1.32,35,0.27,265,66.61,63
702,Ardoyne,Belfast,63.40,12,62.78,9,19.14,39,1.82,8,1.70,25,-1.23,532,1.26,43,0.32,69,82.61,10
703,Ballyhackamore,Belfast,9.12,444,14.84,458,9.42,427,0.02,270,-1.13,508,-1.23,531,0.25,199,0.32,88,17.96,475
704,Ballymacarrett,Belfast,72.35,5,60.12,12,24.44,4,2.19,4,1.68,26,-1.72,558,1.75,8,0.30,147,82.00,12
705,Ballynafeigh,Belfast,20.20,256,26.40,284,11.12,347,0.63,98,0.52,165,-1.57,552,0.82,93,0.29,165,54.46,125
706,Ballysillan,Belfast,37.77,82,36.47,142,15.78,121,1.06,46,1.06,68,-0.90,494,0.59,130,0.37,10,57.33,111
707,Beechmount,Belfast,50.99,29,49.34,40,18.86,42,1.29,31,1.29,50,-1.56,550,1.35,26,0.30,145,66.93,61
708,Bellevue,Belfast,25.66,176,31.02,213,13.58,217,0.50,124,0.22,222,-0.45,390,1.55,17,0.31,103,49.48,168
709,Belmont,Belfast,8.85,449,19.61,396,9.61,415,-0.20,349,-0.75,453,-0.23,314,-0.05,287,0.24,359,33.88,331
710,Blackstaff,Belfast,50.16,32,39.10,114,17.63,68,1.55,19,2.06,7,-1.32,537,0.38,167,0.37,8,67.01,60
711,Bloomfield,Belfast,29.26,143,31.55,203,14.73,154,0.78,79,0.94,82,-1.30,536,0.84,88,0.27,250,51.15,157
712,Botanic,Belfast,37.87,81,35.35,154,18.02,56,0.91,56,0.44,188,-1.88,563,1.32,34,0.35,25,62.38,84
713,Castleview,Belfast,20.51,254,26.04,290,13.42,224,0.35,163,0.36,200,-0.49,400,0.90,81,0.26,282,38.04,283
714,Cavehill,Belfast,6.40,496,10.43,506,8.41,461,-0.34,394,-1.77,550,-0.40,366,0.21,215,0.28,204,13.35,506
715,Cherryvalley,Belfast,5.83,505,13.07,474,7.46,486,-0.49,430,-1.37,530,-0.87,489,-0.40,381,0.31,96,16.85,485
716,Chichester Park,Belfast,24.66,193,30.93,215,14.83,147,0.71,89,-0.50,400,-1.54,549,1.11,53,0.30,142,42.74,230
717,Cliftonville,Belfast,30.50,134,34.73,162,14.61,164,1.20,35,0.06,265,-1.11,520,1.06,62,0.32,79,49.16,170
718,Clonard,Belfast,57.19,20,57.21,18,20.59,28,1.17,40,1.33,46,-1.75,560,1.34,29,0.33,48,80.72,14
719,Crumlin,Belfast,78.07,1,57.12,19,27.71,2,2.42,1,2.53,2,-1.91,564,1.67,13,0.32,64,77.42,20
720,Duncairn,Belfast,57.23,19,47.28,56,21.62,16,1.67,16,1.91,14,-0.62,429,0.30,185,0.28,187,73.73,33
721,Falls,Belfast,75.65,2,66.45,2,23.18,11,2.18,5,2.06,8,-1.71,555,1.44,20,0.29,152,88.35,4
722,Falls Park,Belfast,34.73,99,40.60,100,15.85,117,1.04,47,0.46,181,-1.13,523,1.29,37,0.27,230,57.40,110
723,Finaghy,Belfast,6.95,485,13.89,466,8.63,449,-0.18,346,-1.75,549,-0.96,499,0.52,144,0.27,257,16.99,483
724,Fortwilliam,Belfast,17.56,295,24.11,325,12.69,256,0.53,117,-0.71,443,-0.95,497,0.86,85,0.29,169,31.52,359
725,Glen Road,Belfast,39.12,71,46.74,58,17.20,82,0.93,50,0.66,130,-0.79,473,0.97,68,0.20,525,66.11,69
