Ward Code,Ward Name,LGD Name,Multiple Deprivation Measure Score,Rank of Multiple Deprivation Measure Domain,Income Domain Score,Rank of Income Domain,Employment Domain Score,Rank of Employment Domain,Health Domain Score,Rank of Health Domain,Education Domain Score,Rank of Education Domain,Access Domain Score,Rank of Access Domain,Social Environment Domain Score,Rank of Social Environment Domain,Housing Domain Score,Rank of Housing Domain,Child Poverty Measure Score,Rank of Child Poverty Measure
726,Glencairn,Belfast,49.48,35,43.13,81,19.52,36,1.46,22,1.57,29,-0.50,402,0.75,104,0.27,224,64.31,77
727,Glencolin,Belfast,44.72,48,49.48,39,17.30,78,1.19,38,0.89,89,-0.49,401,1.33,31,0.21,483,65.49,75
728,Highfield,Belfast,38.54,76,34.30,168,17.67,67,1.18,39,1.38,40,-0.77,467,0.60,129,0.23,416,54.79,124
729,Island,Belfast,47.61,37,42.01,89,18.18,53,1.66,17,1.79,17,-1.19,529,-0.08,297,0.29,177,67.20,58
730,Knock,Belfast,8.08,465,15.23,454,10.02,395,-0.42,410,-0.20,335,-0.75,464,-0.37,372,0.27,246,23.97,426
731,Ladybrook,Belfast,26.11,171,36.25,144,14.68,158,0.52,119,0.18,233,-1.09,516,1.04,63,0.23,424,52.77,147
732,Legoniel,Belfast,37.43,86,35.89,147,16.06,106,0.90,59,1.19,57,-0.69,448,1.09,59,0.32,67,54.26,129
733,Malone,Belfast,6.24,500,14.57,460,6.98,504,-0.68,464,-2.00,557,-0.64,433,0.51,146,0.29,149,20.25,454
734,New Lodge,Belfast,67.73,8,63.85,7,21.28,19,2.21,3,1.71,23,-1.76,561,1.25,45,0.27,234,83.82,5
735,Orangefield,Belfast,9.71,438,12.45,485,8.46,460,-0.23,364,0.02,275,-0.89,492,0.07,258,0.32,61,14.76,497
736,Ravenhill,Belfast,12.35,397,18.08,422,9.70,410,0.12,233,-1.36,528,-1.17,525,0.86,86,0.35,26,26.95,403
737,Rosetta,Belfast,8.12,463,16.29,444,9.51,420,0.03,267,-1.39,531,-0.91,496,0.13,237,0.27,242,20.24,455
738,Shaftesbury,Belfast,62.95,14,53.49,25,21.12,23,1.96,6,1.90,15,-1.56,551,1.30,36,0.30,143,80.22,16
739,Shankill,Belfast,64.52,10,49.57,38,23.78,7,1.69,15,2.02,9,-1.72,557,1.03,64,0.31,99,74.24,28
740,St. Annes,Belfast,74.20,4,59.42,14,24.56,3,1.89,7,2.57,1,-2.01,565,0.68,115,0.30,131,80.41,15
741,Stormont,Belfast,2.49,556,6.66,549,5.16,556,-1.44,554,-2.25,562,-0.22,312,-1.13,529,0.25,317,5.25,560
742,Stranmillis,Belfast,2.84,551,5.11,561,4.24,563,-1.65,562,-2.55,565,-0.66,441,-0.14,313,0.29,155,6.20,557
743,Sydenham,Belfast,24.92,191,26.98,274,12.15,280,0.91,55,0.84,96,-0.55,417,0.01,276,0.30,130,44.30,211
744,The Mount,Belfast,66.22,9,47.62,53,21.72,15,1.72,12,2.30,3,-2.03,566,1.96,1,0.35,28,71.76,41
745,Upper Malone,Belfast,5.04,519,12.86,479,7.12,495,-0.63,455,-1.15,511,-0.48,398,0.07,259,0.24,360,21.61,442
746,Upper Springfield,Belfast,64.26,11,63.05,8,19.64,34,1.81,9,1.86,16,-0.85,484,1.43,21,0.23,430,83.33,9
747,Water Works,Belfast,60.85,16,54.15,23,21.37,18,1.50,21,1.33,43,-1.71,556,1.80,5,0.32,84,74.14,29
748,Whiterock,Belfast,74.90,3,66.41,3,22.42,13,2.25,2,2.18,5,-0.97,502,1.10,56,0.27,254,83.79,6
749,Windsor,Belfast,14.41,358,19.43,398,12.15,281,0.23,193,-1.79,551,-1.34,538,0.91,79,0.32,66,34.52,324
750,Woodstock,Belfast,53.18,26,44.61,69,18.89,40,1.71,13,1.77,21,-1.74,559,1.33,30,0.30,126,71.92,40
751,Woodvale,Belfast,70.82,7,51.14,31,24.14,5,1.76,10,2.13,6,-1.48,545,1.43,22,0.36,19,75.03,25
801,Blackhead,Carrickfergus,13.54,374,19.76,394,11.19,340,0.01,273,-0.54,409,0.14,242,0.10,243,0.32,86,24.98,421
802,Boneybefore,Carrickfergus,3.33,542,5.66,558,6.83,516,-1.06,524,-1.29,522,-0.27,323,-0.55,418,0.24,355,6.46,554
803,Clipperstown,Carrickfergus,21.90,232,28.40,249,10.65,368,0.13,229,1.05,69,-0.16,295,0.76,103,0.29,172,49.57,167
804,Eden,Carrickfergus,6.35,498,9.06,519,6.70,523,-0.62,452,-0.24,343,0.21,233,-0.36,369,0.23,394,12.54,512
805,Gortalee,Carrickfergus,32.90,109,36.63,141,18.77,44,0.04,265,0.64,138,-0.97,501,0.65,120,0.30,119,61.61,86
806,Greenisland,Carrickfergus,11.12,416,13.98,465,8.63,450,-0.61,447,-0.41,378,-0.22,310,0.10,242,0.37,9,21.75,441
807,Killycrot,Carrickfergus,32.49,116,31.30,205,18.00,58,0.26,183,0.75,107,-0.65,438,0.99,66,0.31,113,52.73,149
808,Knockagh,Carrickfergus,5.50,510,9.36,516,7.01,502,-1.16,534,-1.71,546,-0.13,288,0.21,216,0.29,176,12.05,517
809,Love Lane,Carrickfergus,27.61,158,32.37,188,13.60,216,-0.06,303,1.11,63,-0.22,309,1.39,23,0.30,120,64.03,78
810,Milebush,Carrickfergus,12.55,392,22.59,350,8.71,448,-0.75,479,0.54,158,0.10,248,0.58,133,0.20,521,43.06,226
811,Northland,Carrickfergus,33.46,105,39.27,111,14.72,155,0.25,188,1.63,27,-0.45,388,0.94,71,0.23,415,68.61,53
812,Sunnylands,Carrickfergus,32.81,113,30.12,227,18.52,47,0.48,129,0.98,76,-0.74,462,0.68,113,0.19,541,52.02,152
813,Victoria,Carrickfergus,7.88,468,17.15,433,9.28,435,-0.23,360,-0.43,381,-0.33,347,-0.06,289,0.19,532,20.96,450
814,Whitehead,Carrickfergus,6.62,489,7.94,533,6.80,517,-1.10,527,-0.94,480,-0.13,290,0.09,248,0.32,60,10.07,534
815,Woodburn,Carrickfergus,6.62,490,8.69,526,7.77,477,-0.59,442,-0.41,377,0.37,201,-0.20,329,0.17,556,9.73,537
901,Ballyhanwood,Castlereagh,3.86,535,7.57,538,6.91,511,-1.15,532,-0.96,486,-0.29,333,0.01,275,0.21,474,11.17,523
902,Beechill,Castlereagh,10.77,424,12.08,493,9.40,429,0.69,94,-0.93,478,-0.51,408,-0.06,290,0.22,438,11.99,518
903,Carrowreagh,Castlereagh,18.58,281,24.25,322,13.16,239,0.01,274,0.83,97,-0.18,301,-0.17,323,0.19,544,40.06,259
904,Carryduff,Castlereagh,3.06,549,8.70,524,5.60,549,-1.24,542,-1.05,500,-0.26,320,-1.46,559,0.24,354,11.46,520
905,Cregagh,Castlereagh,30.21,135,34.54,164,14.84,146,0.78,78,1.29,49,-1.11,521,-0.22,336,0.21,495,61.52,87
906,Downshire,Castlereagh,7.42,478,16.63,440,9.94,401,-0.10,321,-0.28,356,-0.87,490,-1.06,518,0.19,538,32.63,345
907,Dundonald,Castlereagh,5.58,509,8.43,529,6.01,538,-0.10,318,-0.32,361,-0.43,375,-0.79,468,0.22,462,10.89,525
908,Enler,Castlereagh,31.44,123,34.53,165,14.46,169,0.83,71,1.40,37,-0.72,452,0.37,172,0.17,559,62.18,85
909,Four Winds,Castlereagh,1.18,565,6.56,550,4.80,559,-1.82,564,-1.36,529,-0.83,480,-0.66,443,0.16,563,12.41,513
910,Gilnahirk,Castlereagh,2.01,561,7.65,537,7.00,503,-1.38,550,-1.30,524,-1.00,505,-0.54,414,0.18,551,10.81,528
911,Graham's Bridge,Castlereagh,17.11,305,24.81,313,13.85,198,-0.13,331,0.56,156,-1.11,519,0.30,188,0.21,482,51.81,153
912,Hillfoot,Castlereagh,1.45,564,5.72,556,4.99,558,-1.41,551,-1.67,541,-0.50,405,-1.17,535,0.21,494,4.84,562
913,Knockbracken,Castlereagh,1.90,562,4.69,564,5.52,551,-1.50,557,-1.72,548,-0.23,316,-0.84,482,0.17,558,5.45,559
914,Lisnasharragh,Castlereagh,13.81,373,21.08,371,11.25,336,0.15,224,0.63,139,-0.86,487,-0.85,486,0.18,546,43.36,224
915,Lower Braniel,Castlereagh,9.05,445,17.10,435,10.03,394,-0.18,345,0.08,259,-1.01,508,0.05,266,0.17,554,28.98,387
916,Minnowburn,Castlereagh,23.99,205,24.94,311,14.76,151,0.19,209,1.40,39,-0.82,479,-0.19,327,0.17,557,47.56,184
917,Moneyreagh,Castlereagh,4.24,530,10.21,509,6.97,505,-1.10,526,-1.23,515,0.35,209,-1.39,554,0.20,514,13.56,504
918,Newtownbreda,Castlereagh,3.92,533,10.32,507,6.91,512,-0.73,477,-0.57,418,-1.01,507,-0.30,355,0.22,440,17.23,482
919,Tullycarnet,Castlereagh,43.74,53,44.31,72,16.19,99,0.84,68,2.30,4,-0.77,466,0.25,201,0.19,530,76.97,22
920,Upper Braniel,Castlereagh,7.27,480,12.96,476,8.03,469,-0.26,370,-0.05,295,-0.22,308,-1.02,513,0.17,553,20.63,453
921,Wynchurch,Castlereagh,3.08,548,12.05,494,6.20,533,-1.02,521,-0.58,420,-1.09,517,-0.62,435,0.20,507,18.88,470
1001,Agivey,Coleraine,13.08,380,17.95,423,9.51,421,-1.03,523,-0.94,482,0.88,95,-1.19,539,0.45,2,24.98,422
1002,Atlantic,Coleraine,15.80,329,26.70,278,10.91,355,-0.59,444,-0.48,392,0.03,256,0.91,80,0.34,34,47.23,187
1003,Ballysally,Coleraine,45.54,46,53.28,26,17.04,88,0.13,228,1.43,35,-0.20,306,1.80,6,0.26,307,74.69,27
1004,Castlerock,Coleraine,11.91,407,21.69,362,10.81,360,-0.55,438,-0.14,319,0.64,148,-0.39,379,0.24,370,35.44,309
1005,Central,Coleraine,23.49,211,27.98,256,15.39,134,0.26,182,0.36,199,-1.69,554,1.00,65,0.28,218,36.28,301
1006,Churchland,Coleraine,43.70,54,47.92,50,18.41,48,0.84,69,1.05,71,-0.78,469,0.52,145,0.27,244,72.73,36
1007,Cross Glebe,Coleraine,36.30,91,46.48,60,16.11,103,0.12,234,1.33,45,-0.50,403,0.64,123,0.25,342,69.86,48
1008,Dunluce,Coleraine,9.29,441,18.60,412,8.93,443,-0.47,425,-0.82,469,0.67,141,-0.40,383,0.27,261,31.26,363
1009,Garvagh,Coleraine,21.14,241,33.44,184,13.57,218,-0.42,407,-0.42,379,0.68,135,-0.20,330,0.34,33,49.65,166
1010,Hopefield,Coleraine,8.30,460,16.73,439,9.93,402,-0.14,333,-1.23,514,-0.08,275,-0.07,292,0.23,413,23.56,431
1011,Kilrea,Coleraine,22.38,225,34.14,169,14.73,153,-0.04,288,-0.07,303,0.30,217,-0.66,444,0.29,173,48.56,174
1012,Knockantern,Coleraine,10.69,425,21.27,370,11.03,351,-0.42,409,-0.38,373,0.31,215,-0.27,348,0.22,444,29.85,381
1013,Macosquin,Coleraine,12.06,403,24.89,312,11.18,342,-0.71,473,-0.22,337,0.53,170,-0.46,399,0.23,428,38.44,278
1014,Mount Sandel,Coleraine,6.39,497,13.10,473,8.34,463,-1.00,517,-1.71,547,-0.31,337,-0.08,295,0.31,108,17.66,479
1015,Portstewart,Coleraine,10.62,426,23.15,346,10.24,385,-0.10,317,-0.32,359,-1.10,518,0.42,160,0.24,374,45.47,201
1016,Ringsend,Coleraine,18.94,274,23.25,345,13.32,228,-0.67,463,-0.76,456,1.11,59,-1.21,541,0.39,5,30.26,376
1017,Royal Portrush,Coleraine,24.31,199,24.39,317,14.61,163,0.03,268,0.62,144,-0.66,442,1.87,4,0.30,128,38.12,281
1018,Strand,Coleraine,3.31,543,7.31,542,6.87,513,-1.23,538,-1.90,554,-0.18,300,-0.42,384,0.23,419,9.41,541
1019,The Cuts,Coleraine,10.19,429,18.92,408,9.60,417,-0.87,501,-0.12,312,-0.13,287,-0.26,347,0.31,92,28.34,392
1020,University,Coleraine,11.94,406,23.56,336,10.04,393,-0.26,369,0.05,268,-0.45,389,0.29,192,0.26,276,44.89,209
1021,Waterside,Coleraine,3.83,536,12.73,482,7.96,471,-0.96,512,-1.68,542,-0.74,461,-0.95,504,0.26,293,17.86,477
1101,Ardboe,Cookstown,41.26,63,48.15,47,18.26,51,0.19,206,0.37,198,1.16,51,-0.76,461,0.31,107,63.21,82
1102,Coagh,Cookstown,21.48,239,27.35,267,14.10,187,-0.03,286,0.39,192,0.59,153,-0.53,412,0.30,127,37.38,291
1103,Dunnamore,Cookstown,32.88,111,42.61,87,15.40,133,-0.22,359,-0.03,289,1.69,9,-0.70,449,0.31,104,59.62,99
1104,Gortalowry,Cookstown,27.04,162,41.93,91,13.89,195,0.08,252,0.00,281,-0.09,278,1.06,61,0.30,133,57.70,109
1105,Killycolpy,Cookstown,32.13,118,47.47,54,14.70,156,-0.29,381,-0.36,368,1.28,34,-0.58,425,0.33,49,63.41,80
1106,Killymoon,Cookstown,29.58,141,37.54,130,14.80,149,0.37,158,0.49,174,0.03,255,0.99,67,0.29,171,55.31,120
1107,Lissan,Cookstown,17.16,303,22.80,348,12.02,287,-0.31,384,-0.05,293,0.77,113,-0.87,492,0.35,29,34.56,322
1108,Moneymore,Cookstown,21.66,236,34.85,161,11.95,294,-0.23,361,0.46,183,0.05,251,0.24,205,0.33,58,55.37,119
1109,Newbuildings,Cookstown,28.38,150,31.88,196,15.66,124,0.14,225,-0.02,284,-0.52,410,1.92,3,0.34,38,41.13,243
1110,Oaklands,Cookstown,17.55,296,25.93,291,11.51,324,-0.24,366,0.15,239,0.89,90,-0.48,406,0.30,123,38.97,270
1111,Oldtown,Cookstown,19.59,262,27.74,259,14.19,179,-0.41,404,0.61,145,-0.71,451,0.66,118,0.25,321,47.30,185
1112,Pomeroy,Cookstown,39.80,68,46.34,62,17.92,62,0.35,162,0.33,203,1.22,44,-0.17,321,0.29,161,57.72,108
1113,Sandholes,Cookstown,14.82,351,22.38,352,10.16,389,-0.52,433,-0.16,325,0.70,130,-0.52,410,0.35,21,40.09,258
1114,Stewartstown,Cookstown,24.76,192,31.77,198,14.17,180,-0.28,374,0.49,170,0.44,183,0.66,119,0.33,54,43.40,223
1115,The Loop,Cookstown,23.33,216,31.87,197,15.66,125,-0.27,372,-0.03,287,0.73,125,-1.28,547,0.30,122,40.83,249
1116,Tullagh,Cookstown,20.55,252,25.50,298,13.94,193,0.43,142,-0.05,291,-0.72,453,1.37,25,0.19,539,33.16,339
1201,Aghagallon,Craigavon,13.82,372,20.58,378,14.15,183,-0.71,472,-0.63,432,0.55,163,-0.90,499,0.25,320,24.08,425
1202,Annagh,Craigavon,21.04,243,25.46,299,13.79,206,0.40,151,0.02,276,-0.43,376,1.10,54,0.29,182,35.37,311
1203,Ballybay,Craigavon,31.06,127,34.98,159,17.14,85,0.60,104,0.56,153,-0.39,362,0.62,125,0.24,350,56.77,115
1204,Ballyoran,Craigavon,25.08,187,36.33,143,13.32,229,0.43,144,0.47,178,0.06,250,0.44,154,0.23,404,58.45,105
1205,Bleary,Craigavon,6.79,486,14.66,459,9.45,424,-0.70,470,-1.13,507,0.24,229,-0.75,455,0.25,326,19.35,465
1206,Brownstown,Craigavon,9.28,442,16.58,442,10.71,364,-0.29,378,-0.57,417,-0.17,298,-0.14,314,0.26,279,19.93,460
1207,Church,Craigavon,38.50,78,33.52,181,20.98,24,0.63,99,1.03,72,-1.03,511,0.74,106,0.23,409,59.09,101
1208,Corcrain,Craigavon,39.64,70,49.09,43,14.64,161,0.80,76,1.19,55,-0.43,377,1.27,40,0.22,457,66.35,66
1209,Court,Craigavon,46.23,41,41.96,90,20.69,27,1.35,28,1.12,62,-1.37,539,0.68,116,0.26,305,53.57,136
1210,Drumgask,Craigavon,45.62,45,51.04,32,13.76,208,1.50,20,1.46,34,-0.28,326,1.11,51,0.26,292,72.74,35
1211,Drumgor,Craigavon,44.24,50,46.74,57,17.29,79,1.39,26,0.69,121,-0.37,359,1.67,12,0.24,353,73.92,31
1212,Drumnamoe,Craigavon,35.24,97,42.95,83,15.51,131,1.14,43,0.69,125,-0.41,368,-0.13,309,0.28,207,59.29,100
1213,Edenderry,Craigavon,16.26,321,17.50,430,13.09,241,0.42,146,-0.56,415,-0.59,425,0.04,269,0.33,47,21.11,448
1214,Kernan,Craigavon,10.09,431,18.28,418,10.46,378,0.12,236,-0.95,483,0.00,259,-0.84,480,0.25,340,25.74,415
1215,Killycomain,Craigavon,8.71,453,17.08,436,11.70,308,-0.93,510,-0.36,370,-0.43,374,0.06,264,0.20,502,25.42,420
1216,Kinnegoe,Craigavon,12.60,391,17.60,428,11.60,316,-0.16,340,-1.01,495,0.68,137,-0.03,281,0.30,148,19.27,468
1217,Knocknashane,Craigavon,6.20,501,9.26,517,10.39,380,-0.59,443,-1.30,526,-0.34,350,-0.66,442,0.27,249,11.00,524
1218,Magheralin,Craigavon,7.19,482,11.88,496,8.50,459,-0.57,441,-0.77,459,0.40,191,-0.78,463,0.27,239,13.76,502
1219,Mourneview,Craigavon,19.74,259,19.87,390,13.01,243,0.20,204,0.72,116,-0.32,340,0.30,186,0.30,132,32.86,342
1220,Parklake,Craigavon,18.41,284,18.93,407,15.81,119,0.16,218,-0.19,333,-0.64,435,0.76,101,0.21,467,17.24,481
1221,Taghnevan,Craigavon,29.72,139,35.61,150,15.88,113,0.76,82,0.47,177,-0.55,419,0.79,99,0.21,472,51.29,155
1222,Tavanagh,Craigavon,28.78,148,35.14,157,15.18,139,0.43,145,0.73,112,-1.18,528,0.91,78,0.28,184,54.19,131
1223,The Birches,Craigavon,12.86,385,23.27,344,8.55,455,-0.29,379,-0.12,313,0.95,82,-0.47,404,0.26,303,29.82,383
1224,Tullygally,Craigavon,35.52,95,43.95,74,13.81,203,1.28,32,0.78,104,-0.45,386,0.83,91,0.24,362,67.56,55
1225,Warringstown,Craigavon,5.69,508,12.56,483,7.44,488,-0.92,507,-0.99,493,0.32,214,-0.35,368,0.23,405,14.69,499
1226,Woodville,Craigavon,17.52,297,29.01,241,12.12,283,0.25,187,-0.24,344,-0.73,459,0.89,83,0.25,309,36.11,303
1301,Altnagelvin,Derry,9.55,439,16.62,441,10.81,359,0.00,278,-0.48,394,-0.44,379,0.07,256,0.19,537,22.03,437
1302,Ballynashallog,Derry,13.02,381,18.96,406,11.24,338,0.75,85,-1.69,543,-0.42,372,-0.14,316,0.20,522,19.89,461
1303,Banagher,Derry,28.07,153,35.10,158,14.15,184,0.00,277,0.60,146,1.38,25,-0.39,378,0.23,395,42.16,234
1304,Beechwood,Derry,43.92,52,49.70,37,19.20,38,1.12,44,0.54,160,-1.17,526,0.13,238,0.25,343,69.71,50
1305,Brandywell,Derry,70.95,6,69.15,1,22.50,12,1.74,11,1.96,11,-0.90,493,0.56,136,0.20,498,91.43,2
1306,Carn Hill,Derry,44.55,49,52.28,29,17.27,80,1.15,42,0.96,79,-0.36,353,0.32,181,0.21,476,70.56,46
1307,Caw,Derry,36.78,88,39.66,106,18.23,52,0.87,66,0.44,184,-0.27,325,0.81,94,0.19,531,53.12,144
1308,Claudy,Derry,26.23,170,29.18,239,15.87,115,0.31,172,0.23,221,0.99,77,-0.20,331,0.21,490,33.46,335
1309,Clondermot,Derry,32.47,117,40.45,102,18.01,57,0.51,122,0.31,207,-1.03,513,0.29,191,0.21,473,57.81,107
1310,Corrody,Derry,43.29,58,46.37,61,18.17,54,0.83,72,0.98,78,0.19,235,0.86,87,0.24,368,59.07,102
1311,Creggan Central,Derry,56.05,22,60.92,11,20.97,25,1.22,33,1.32,48,-0.72,455,0.06,265,0.24,352,82.35,11
1312,Creggan South,Derry,63.36,13,66.13,5,21.28,20,1.60,18,1.76,22,-0.65,436,0.03,273,0.23,377,89.36,3
1313,Crevagh & Springtown,Derry,28.88,147,42.12,88,15.75,122,0.39,152,0.07,260,0.04,252,0.08,255,0.20,528,52.92,145
1314,Culmore,Derry,29.48,142,41.37,92,14.68,157,0.46,136,0.40,191,0.27,225,0.28,193,0.23,418,50.35,162
1315,Ebrington,Derry,28.37,151,32.00,191,16.05,107,0.88,64,-0.30,358,-1.38,540,1.27,39,0.28,215,47.58,183
1316,Eglinton,Derry,14.13,364,20.56,379,12.33,273,0.19,210,-0.42,380,0.36,204,-0.30,354,0.20,499,22.49,435
1317,Enagh,Derry,31.26,125,37.30,134,17.71,66,0.60,103,-0.09,309,0.35,208,0.20,220,0.21,492,53.36,139
1318,Faughan,Derry,22.73,223,27.41,265,14.84,145,0.37,159,0.15,241,0.38,200,0.15,231,0.21,469,32.20,351
